Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VXX,2758830,0,0.00,0,0.00,15.38,2705288,53542
VIXY,1277844,0,0.00,0,0.00,15.00,1275009,2835
USHY,1005495,0,0.00,0,0.00,35.73,1005295,200
NVDQ,932934,0,0.00,0,0.00,6.21,932831,103
UVIX,822416,0,0.00,0,0.00,11.83,811757,10659
UVXY,647303,0,0.00,0,0.00,40.50,640391,6912
BITX,602819,0,0.00,0,0.00,41.10,594781,8038
IEFA,570757,0,0.00,0,0.00,70.78,527877,42880
IGV,515435,0,0.00,0,0.00,78.53,514368,1067
FBTC,492090,0,0.00,0,0.00,56.20,466963,25127
AAAU,466169,0,0.00,0,0.00,23.64,462947,3222
INDA,436221,0,0.00,0,0.00,51.00,436221,0
ARKG,421142,0,0.00,0,0.00,23.32,412872,8270
GOVT,355299,0,0.00,0,0.00,22.25,355262,37
USMV,352522,0,0.00,0,0.00,80.50,347543,4979
ARKB,317387,0,0.00,0,0.00,64.25,316135,1252
VHAI,272150,0,0.00,0,0.00,0.23,255916,16234
COWZ,268464,0,0.00,0,0.00,55.16,268062,402
QUAL,248704,0,0.00,0,0.00,154.56,234641,14063
ITB,235520,0,0.00,0,0.00,102.36,234148,1372
MTUM,234069,0,0.00,0,0.00,173.58,223462,10607
EZU,218808,0,0.00,0,0.00,48.73,215284,3524
CBOE,216002,0,0.00,0,0.00,180.53,212918,3084
SVIX,204250,0,0.00,0,0.00,35.50,201114,3136
NOBL,189797,0,0.00,0,0.00,96.74,189069,728
EFV,188758,0,0.00,0,0.00,52.82,174186,14572
SVXY,179089,0,0.00,0,0.00,51.48,178663,426
PAVE,178479,0,0.00,0,0.00,37.29,172377,6102
NVDX,161486,0,0.00,0,0.00,68.55,159367,2119
EFAV,151441,0,0.00,0,0.00,68.25,143181,8260
MOAT,146052,0,0.00,0,0.00,84.30,143069,2983
CALF,138985,0,0.00,0,0.00,46.69,137905,1080
BBUS,112864,0,0.00,0,0.00,89.42,112764,100
BBJP,97934,0,0.00,0,0.00,54.68,97503,431
BBCA,94503,0,0.00,0,0.00,64.70,94502,1
SPYI,90659,0,0.00,0,0.00,48.09,88100,2559
BBEU,79071,0,0.00,0,0.00,57.15,79054,17
IYZ,78920,0,0.00,0,0.00,20.68,78701,219
VNM,78493,0,0.00,0,0.00,11.94,78147,346
HEFA,76761,0,0.00,0,0.00,33.84,76461,300
ICOW,70354,0,0.00,0,0.00,31.24,62554,7800
BBAX,69106,0,0.00,0,0.00,45.87,68876,230
BTCW,67770,0,0.00,0,0.00,68.04,67620,150
FBCG,62701,0,0.00,0,0.00,35.75,59613,3088
ESGV,62379,0,0.00,0,0.00,87.24,62379,0
ITA,54984,0,0.00,0,0.00,129.39,54854,130
DFIC,52579,0,0.00,0,0.00,25.76,52579,0
OSCV,52479,0,0.00,0,0.00,34.08,52479,0
EEMV,52339,0,0.00,0,0.00,55.27,51966,373
BUFR,45090,0,0.00,0,0.00,27.33,45090,0
GAPR,44744,0,0.00,0,0.00,33.83,44744,0
ICF,44529,0,0.00,0,0.00,52.98,44352,177
BBHY,42945,0,0.00,0,0.00,45.14,37145,5800
PSFF,42770,0,0.00,0,0.00,26.43,42770,0
CNYA,38909,0,0.00,0,0.00,26.19,38909,0
IAGG,38849,0,0.00,0,0.00,49.51,38207,642
ICSH,38233,0,0.00,0,0.00,50.44,38233,0
LVHI,35844,0,0.00,0,0.00,29.29,30945,4899
FLHY,35799,0,0.00,0,0.00,23.25,35799,0
WTAI,34875,0,0.00,0,0.00,18.47,34875,0
FLOT,34711,0,0.00,0,0.00,51.02,34711,0
IDV,33886,0,0.00,0,0.00,27.16,32374,1512
FAPR,32902,0,0.00,0,0.00,36.58,32802,100
IYT,32858,0,0.00,0,0.00,65.86,32857,1
EZBC,30883,0,0.00,0,0.00,37.33,30883,0
HODL,30848,0,0.00,0,0.00,72.37,27598,3250
SING,29792,0,0.00,0,0.00,0.17,29792,0
VLUE,28697,0,0.00,0,0.00,101.24,26907,1790
HYD,27498,0,0.00,0,0.00,51.45,27498,0
GCOW,27335,0,0.00,0,0.00,33.97,26767,568
SLVP,27205,0,0.00,0,0.00,11.77,27205,0
ACWV,25276,0,0.00,0,0.00,101.95,25276,0
BOXX,25212,0,0.00,0,0.00,106.74,25212,0
BTCO,24920,0,0.00,0,0.00,64.25,24287,633
OMFL,24908,0,0.00,0,0.00,51.60,24546,362
PTLC,24568,0,0.00,0,0.00,45.19,24568,0
NEAR,23724,0,0.00,0,0.00,50.00,23724,0
IEO,23684,0,0.00,0,0.00,106.61,23284,400
REM,23574,0,0.00,0,0.00,21.79,23008,566
ECH,23572,0,0.00,0,0.00,26.25,23231,341
FLDR,22427,0,0.00,0,0.00,49.92,22427,0
MFUL,21862,0,0.00,0,0.00,20.92,21862,0
EFG,21437,0,0.00,0,0.00,97.17,21437,0
NFLP,20546,0,0.00,0,0.00,29.50,20546,0
IBHE,20281,0,0.00,0,0.00,23.24,16242,4039
RDVI,18997,0,0.00,0,0.00,23.35,18997,0
JCPB,18023,0,0.00,0,0.00,45.43,17918,105
VUSB,17994,0,0.00,0,0.00,49.38,17994,0
KNG,17979,0,0.00,0,0.00,51.73,17979,0
ARKQ,17112,0,0.00,0,0.00,49.86,17112,0
ICVT,16742,0,0.00,0,0.00,76.13,16662,80
SMDV,16609,0,0.00,0,0.00,60.90,16609,0
JMST,16386,0,0.00,0,0.00,50.66,16386,0
UAPR,16314,0,0.00,0,0.00,27.28,16214,100
PMAR,14083,0,0.00,0,0.00,35.78,13802,281
JMUB,13909,0,0.00,0,0.00,50.24,13909,0
ESML,13459,0,0.00,0,0.00,37.14,11453,2006
DISV,13431,0,0.00,0,0.00,26.49,11739,1692
FFLC,12989,0,0.00,0,0.00,39.71,12989,0
PAPR,12677,0,0.00,0,0.00,32.62,12677,0
MARM,12592,0,0.00,0,0.00,28.76,12592,0
ACIO,12377,0,0.00,0,0.00,34.75,12377,0
PICK,12367,0,0.00,0,0.00,42.78,12050,317
IGEB,12194,0,0.00,0,0.00,43.52,12194,0
IGE,11675,0,0.00,0,0.00,45.03,11575,100
BUYW,11372,0,0.00,0,0.00,13.48,11372,0
IQDG,10948,0,0.00,0,0.00,35.74,8648,2300
EYLD,10820,0,0.00,0,0.00,33.56,10820,0
ITM,10809,0,0.00,0,0.00,45.96,10545,264
MLN,10577,0,0.00,0,0.00,17.73,10577,0
QMAR,10504,0,0.00,0,0.00,25.43,10504,0
FFLG,10442,0,0.00,0,0.00,20.34,9757,685
EMHY,10437,0,0.00,0,0.00,36.77,10437,0
DFIS,10392,0,0.00,0,0.00,24.08,10292,100
TLTW,10327,0,0.00,0,0.00,25.07,10323,4
ICLO,10316,0,0.00,0,0.00,25.73,10316,0
OUSM,10168,0,0.00,0,0.00,39.49,10167,1
ARKX,9910,0,0.00,0,0.00,14.11,8209,1701
FLBL,9871,0,0.00,0,0.00,24.33,9771,100
BUFF,9804,0,0.00,0,0.00,41.01,9004,800
JBBB,9443,0,0.00,0,0.00,48.89,9443,0
DFNL,9365,0,0.00,0,0.00,32.06,9365,0
SMMV,9347,0,0.00,0,0.00,35.86,9347,0
IBMR,9079,0,0.00,0,0.00,24.92,9079,0
FMAG,8074,0,0.00,0,0.00,26.51,7874,200
FLQL,7972,0,0.00,0,0.00,49.92,7880,92
YBTC,7835,0,0.00,0,0.00,53.59,7835,0
TMFM,7712,0,0.00,0,0.00,24.93,7712,0
CEFS,7465,0,0.00,0,0.00,19.59,7465,0
STLG,7452,0,0.00,0,0.00,44.35,7452,0
GSST,7405,0,0.00,0,0.00,50.22,7405,0
RULE,7275,0,0.00,0,0.00,20.92,7275,0
NUMG,7224,0,0.00,0,0.00,40.60,7224,0
BALT,7203,0,0.00,0,0.00,28.98,7193,10
NUSC,7180,0,0.00,0,0.00,38.32,7180,0
SMIN,7114,0,0.00,0,0.00,72.79,7114,0
NULV,7084,0,0.00,0,0.00,36.90,7084,0
CEMB,6874,0,0.00,0,0.00,43.76,6774,100
XSHD,6838,0,0.00,0,0.00,14.64,6824,14
PTMC,6835,0,0.00,0,0.00,33.56,6835,0
VSGX,6825,0,0.00,0,0.00,54.67,6775,50
VOTE,6782,0,0.00,0,0.00,57.76,6782,0
IFRA,6778,0,0.00,0,0.00,41.75,6778,0
DRSK,6768,0,0.00,0,0.00,25.86,6768,0
NANC,6608,0,0.00,0,0.00,32.10,6608,0
GOVZ,6605,0,0.00,0,0.00,10.36,6605,0
FLQM,6505,0,0.00,0,0.00,49.93,6406,99
SYLD,6267,0,0.00,0,0.00,69.44,6267,0
HYDB,6096,0,0.00,0,0.00,45.75,6096,0
HYGW,6042,0,0.00,0,0.00,32.76,5617,425
NULG,5835,0,0.00,0,0.00,70.68,5835,0
SMMD,5798,0,0.00,0,0.00,60.39,5439,359
IYJ,5703,0,0.00,0,0.00,119.41,5703,0
IBMQ,5700,0,0.00,0,0.00,25.09,5700,0
VXZ,5666,0,0.00,0,0.00,14.36,5666,0
GMAR,5641,0,0.00,0,0.00,33.48,5641,0
EALT,5629,0,0.00,0,0.00,27.85,5629,0
CLSE,5582,0,0.00,0,0.00,19.83,5582,0
IBMM,5410,0,0.00,0,0.00,25.96,5410,0
SFEB,5349,0,0.00,0,0.00,19.42,4521,828
HEEM,5338,0,0.00,0,0.00,25.06,5338,0
DOCT,5300,0,0.00,0,0.00,37.20,5300,0
BUFD,5225,0,0.00,0,0.00,23.22,5225,0
QSPT,5200,0,0.00,0,0.00,24.16,5100,100
RSEE,5155,0,0.00,0,0.00,26.76,5155,0
QDEC,5152,0,0.00,0,0.00,23.92,5152,0
GOOX,5145,0,0.00,0,0.00,27.62,5140,5
PDEC,5129,0,0.00,0,0.00,35.89,5129,0
GVI,5118,0,0.00,0,0.00,102.34,5118,0
SECT,5067,0,0.00,0,0.00,47.41,4597,470
EMGF,4921,0,0.00,0,0.00,43.51,4921,0
MOTI,4889,0,0.00,0,0.00,30.01,4889,0
DDLS,4886,0,0.00,0,0.00,33.40,4686,200
JUCY,4861,0,0.00,0,0.00,23.32,4861,0
DIVB,4715,0,0.00,0,0.00,42.40,4715,0
XMAR,4681,0,0.00,0,0.00,32.94,4681,0
VFMO,4605,0,0.00,0,0.00,138.89,4605,0
TMFC,4558,0,0.00,0,0.00,46.69,4344,214
BUFQ,4538,0,0.00,0,0.00,27.24,4538,0
AAPR,4493,0,0.00,0,0.00,24.32,4493,0
TMFS,4460,0,0.00,0,0.00,28.97,4460,0
BAMD,4427,0,0.00,0,0.00,27.83,3827,600
VIXM,4330,0,0.00,0,0.00,16.55,4330,0
SDVD,4318,0,0.00,0,0.00,20.67,4318,0
DMAR,4266,0,0.00,0,0.00,33.84,4266,0
PJUN,4244,0,0.00,0,0.00,34.41,4244,0
ISDB,4200,0,0.00,0,0.00,24.70,4200,0
IEDI,4170,0,0.00,0,0.00,46.28,4170,0
IBHD,4109,0,0.00,0,0.00,23.25,4109,0
IDUB,4023,0,0.00,0,0.00,20.11,3923,100
UAUG,4010,0,0.00,0,0.00,31.71,4010,0
